 distance[ft],uprime[ft/s],vprime[ft/s],wprime[ft/s],pprime[rad/s]
   2280.0000000000000      ,  -5.7132637781918367      ,   1.6357348621448560      ,  0.81996278863970873      ,   5.2280960852236755E-002
   2300.0000000000000      ,  -6.1631831835659101      ,   2.3072201837999899      ,   2.4492456159644003      ,   3.1979872152896674E-002
   2320.0000000000000      ,  -6.0891295884157923      ,   2.3696004709143415      ,  0.66792796138635624      ,   5.6191174227834435E-002
   2340.0000000000000      ,  -5.7485444160384249      ,   2.4291966271395937      ,   1.5327441941617308      ,   1.6289628978628914E-002
   2360.0000000000000      ,  -4.9724662805884270      ,   2.3307118551730737      ,   2.5027272125686877      ,  -7.5748863148664705E-002
   2380.0000000000000      ,  -4.5563182431130569      ,   3.9155944518514505      ,   2.8270086133462367      ,  -3.4715054752883952E-002
   2400.0000000000000      ,  -4.6756758719321363      ,   4.8984764323091170      ,   4.2160384404190170      ,  -9.7090071022630433E-004
   2420.0000000000000      ,  -4.3857780258821375      ,   3.2001396072325505      ,   3.5404977643848379      ,   4.7274924319492331E-002
   2440.0000000000000      ,  -4.4251401184048778      ,   3.9273915997015387      ,   4.2964496876360085      ,   2.9029134980048523E-002
   2460.0000000000000      ,  -2.8956720342126299      ,   4.4941790190772473      ,   7.1681356691685849      ,  -1.9046190101256064E-002
   2480.0000000000000      ,  -3.0259913783370203      ,   4.7210052201135086      ,   7.4625650570917896      ,   2.7185347012752797E-002
   2500.0000000000000      ,  -4.0348749689266850      ,   4.9334296723960245      ,   6.8830332225645616      ,   6.3365608845395036E-002
   2520.0000000000000      ,  -4.0695668595846692      ,   5.5654929662036023      ,   6.0396339160576691      ,   9.9376890991244887E-002
   2540.0000000000000      ,  -4.1620516364155531      ,   7.0751014494220472      ,   5.3503781580164640      ,   2.4187396771201585E-002
   2560.0000000000000      ,  -3.7465180262986313      ,   8.4886472946820444      ,   2.9680551443187739      ,   4.0911331107663658E-002
   2580.0000000000000      ,  -3.8774904684625557      ,   8.2466220977253180      ,   4.7255599123066085      ,   1.9033320261719243E-002
   2600.0000000000000      ,  -4.5410147953347257      ,   7.0968532887252289      ,   5.1851941299664279      ,  -2.6351301300413979E-002
   2620.0000000000000      ,  -3.5576723695955210      ,   6.1570577072037729      ,   4.1480248228145529      ,   3.9669970169405010E-003
   2640.0000000000000      ,  -4.1266260004247419      ,   4.2942432044394145      ,   2.2572936220067881      ,   4.2007075894432318E-002
   2660.0000000000000      ,  -4.7592711429640344      ,   2.8739801820950017      ,   1.7580051381627828      ,  -4.9636442987489621E-002
   2680.0000000000000      ,  -4.6981303277052504      ,   3.2919225424464846      ,  0.93020592102167587      ,  -1.8832529830922904E-002
   2700.0000000000000      ,  -4.7540866160537032      ,   5.0219133438275607      ,   2.3164509148592152      ,  -1.6450712100120096E-002
   2720.0000000000000      ,  -4.6037324561387996      ,   5.7467627093131135      ,   3.3508584577013218      ,  -3.2875375891258309E-002
   2740.0000000000000      ,  -4.4307857207290660      ,   5.6328399574119308      ,   5.1098691251313655      ,  -2.7066017592251513E-002
   2760.0000000000000      ,  -4.7167308086837947      ,   6.8612367601821260      ,   5.3734048406211521      ,   9.1237610142825207E-003
   2780.0000000000000      ,  -5.8556536737236335      ,   6.6077110349412562      ,   5.1575053651143881      ,   7.4271821469972851E-003
   2800.0000000000000      ,  -7.0284871088703822      ,   6.3848249666589982      ,   5.0420030920069427      ,  -3.7317238815522208E-002
   2820.0000000000000      ,  -7.3581412877332477      ,   8.1547413258113526      ,   4.7941813357795988      ,  -5.4149993718571876E-002
   2840.0000000000000      ,  -7.4792178953562285      ,   7.7595377514005577      ,   5.4027926518543028      ,  -3.8601061728868798E-002
   2860.0000000000000      ,  -8.0859695539031282      ,   7.5086630898158093      ,   5.2315449088391128      ,  -5.3309198464229483E-002
   2880.0000000000000      ,  -7.9074273547016558      ,   8.2773620600238154      ,   5.8801861367146104      ,  -3.0627502432174460E-002
   2900.0000000000000      ,  -8.3850793735604654      ,   7.6717509893863065      ,   7.5271996064813367      ,  0.10670753325030599     
   2920.0000000000000      ,  -8.4469360758686296      ,   6.9085475390032807      ,   7.0367265852825422      ,   6.8124715497895352E-002
   2940.0000000000000      ,  -7.7581566853657442      ,   8.5846870601765897      ,   7.3970182354391030      ,   3.8903957203980891E-002
   2960.0000000000000      ,  -6.7911459348935459      ,   9.0441069988158134      ,   7.2546425823449612      ,  -6.9827733243637571E-002
   2980.0000000000000      ,  -6.6568032159693757      ,   8.2736321368461621      ,   8.5808586432519043      ,  -4.7245597106662283E-002
   3000.0000000000000      ,  -7.8655362512794662      ,   7.3474706168782467      ,   8.7881399375304579      ,  -1.0714706226403225E-002
   3020.0000000000000      ,  -7.3228149118082557      ,   8.6589577839235368      ,   8.0111952789039602      ,  -6.4794760174126595E-002
   3040.0000000000000      ,  -8.9040664727077434      ,   8.5625069627750747      ,   5.7366885353920267      ,   1.0762604375813870E-002
   3060.0000000000000      ,  -7.7827478685138782      ,   9.7312924021974716      ,   6.8015084851069316      ,  -2.0162633992110972E-002
   3080.0000000000000      ,  -8.5678211285839492      ,   9.6862588480611684      ,   8.5465892242637391      ,  -3.8086246673620143E-002
   3100.0000000000000      ,  -7.8838198437958837      ,   9.8270966426899289      ,   8.1528940889384387      ,  -6.0943228067049653E-002
   3120.0000000000000      ,  -10.156052049018845      ,   9.9051193573229241      ,   8.2598116724127415      ,  -1.5714296493509559E-002
   3140.0000000000000      ,  -9.4426659683083702      ,   9.9871263346816281      ,   8.7320217779761560      ,   3.2135150957415183E-002
   3160.0000000000000      ,  -8.9265010296430507      ,   10.218689104962891      ,   9.4111306100243670      ,  -3.1533859200923000E-003
   3180.0000000000000      ,  -8.7556867124948603      ,   9.8878852392600205      ,   7.2629124533663436      ,  -2.3310981094375422E-002
   3200.0000000000000      ,  -8.1723713341952369      ,   9.7002774204976063      ,   6.9034956853480285      ,   1.7242593560974163E-002
   3220.0000000000000      ,  -9.6719034936918487      ,   8.6854986565314363      ,   7.1577897103034633      ,  -6.4173035929632649E-004
   3240.0000000000000      ,  -7.7111972833564257      ,   8.8996294363537576      ,   7.4731386391317693      ,  -2.1092495368851539E-002
   3260.0000000000000      ,  -7.3557986314086206      ,   9.6349804705440736      ,   7.9317043236538733      ,   8.9591818447447694E-002
   3280.0000000000000      ,  -7.9837672660309362      ,   8.4152967259341604      ,   9.6953423823266132      ,   7.3212285708918523E-002
   3300.0000000000000      ,  -8.4978565993545043      ,   10.192076888842838      ,   9.1695428894529414      ,  -2.4557314092481426E-002
   3320.0000000000000      ,  -7.8991097917349933      ,   10.099393841665146      ,   8.6917380964834763      ,  -3.6605328059358282E-002
   3340.0000000000000      ,  -8.4332609314201363      ,   8.7164230712252113      ,   9.4146137666957070      ,   7.1474343709978197E-002
   3360.0000000000000      ,  -8.0691041522330877      ,   9.0294291259362520      ,   8.5697119561302824      ,   6.1261712899204908E-002
   3380.0000000000000      ,  -7.8275102417782243      ,   8.3644491754111776      ,   9.3899325619001850      ,   7.0529326533998127E-002
   3400.0000000000000      ,  -6.8380553997281552      ,   9.5676659222755926      ,   9.3782519256021786      ,   4.6878415430110384E-002
   3420.0000000000000      ,  -5.7652225691842327      ,   9.0131513160941594      ,   8.4778850882342933      ,   2.9925882532870096E-002
   3440.0000000000000      ,  -4.9558316873754862      ,   9.0869141474779429      ,   6.9976339557499410      ,   5.0889577850548276E-002
   3460.0000000000000      ,  -5.8124592438157396      ,   9.9563519331335293      ,   6.9492285165503933      ,  -2.0445782214727846E-002
   3480.0000000000000      ,  -5.5253381682948746      ,   11.387100622497401      ,   7.9481633658021922      ,  -1.7619659771453359E-002
   3500.0000000000000      ,  -5.9668533387098641      ,   10.706488272058538      ,   6.8995702766149360      ,  -2.4292454260875861E-002
   3520.0000000000000      ,  -5.1243006727120379      ,   9.1987575393262659      ,   6.3208713178954694      ,  -6.7852632023116359E-003
   3540.0000000000000      ,  -4.9596520265159967      ,   9.2449610875286741      ,   6.1596938753619126      ,  -5.9888851181045276E-002
   3560.0000000000000      ,  -3.4512572125051517      ,   9.0082985570724947      ,   6.7799414038712200      ,  -3.4388771433428687E-002
   3580.0000000000000      ,  -4.0127659484501761      ,   6.4977552650410697      ,   6.9023073942833371      ,   1.8324307919288835E-003
   3600.0000000000000      ,  -3.1817701750475704      ,   7.4292459557180850      ,   6.9646423021078787      ,   1.8013601410678089E-002
   3620.0000000000000      ,  -4.8899282001036894      ,   6.9891143432294704      ,   7.6193581170735740      ,   5.6412055768598264E-002
   3640.0000000000000      ,  -5.2565336285125914      ,   8.3177589504124363      ,   9.5298431192968067      ,   3.9436609503920951E-002
