 t[s],u[ft/s],v[ft/s],w[ft/s],p[rad/s],q[rad/s],r[rad/s],x[ft],y[ft],z[ft],e0,ex,ey,ez,aileron[deg],elevator[deg],rudder[deg],throttle,aileron_dot[rad/s],elevator_dot[rad/s],rudder_dot[rad/s],throttle_dot,longitude[deg], latitude[deg], azimuth[deg]
0.350000000000000,347.894802927521,1.98779184487691,38.2924795209338,0.688524624593780,-0.147884722317817,0.501485543495732E-1,122.496944243611,-0.853802068122558E-2,-1000.04680269266,0.997401332508273,0.469393927390426E-1,0.546554625520433E-1,-0.236078872758956E-3,-9.36704123869784,-3.85107455458427,-1.46256839719933,0.633183333882808E-1,1.07740097690088,-0.444253049395507,-0.106352865148642,-0.326427056755851E-1,0.335990651365833E-3,-0.234185035943786E-7,0.268604472324834
0.360000000000000,347.948952086163,2.09476177391287,37.8330238151708,0.700506373921035,-0.150367798951573,0.524815653925632E-1,125.996981032287,-0.833255972327175E-2,-1000.04499640492,0.997272781289874,0.504174324358827E-1,0.538984246456419E-1,-0.205001588238375E-3,-8.74462260222096,-4.10216449664478,-1.51926516969884,0.629897173100215E-1,1.08751359632630,-0.429952440209480,-0.915832395127214E-1,-0.330771055130914E-1,0.345590724626491E-3,-0.228549551611223E-7,0.289646470556461
0.370000000000000,348.003212509546,2.19697009953948,37.3698684538356,0.710230074393735,-0.152542061889185,0.547629751771707E-1,129.497063839397,-0.798228485948927E-2,-1000.04240800033,0.997129271064705,0.539495370696159E-1,0.531284924003994E-1,-0.165925301318979E-3,-8.12007089914437,-4.34436591361068,-1.56706406666536,0.626568539079780E-1,1.08539241388767,-0.413433443610570,-0.754603825304312E-1,-0.334922507805791E-1,0.355190924109789E-3,-0.218942040155980E-7,0.311243897354601
0.380000000000000,348.057452369191,2.29370281515952,36.9039775954413,0.717754731639189,-0.154420376684379,0.569865317613111E-1,132.997195607157,-0.747419471478973E-2,-1000.03898053913,0.996970759506114,0.575244919270594E-1,0.523471440272011E-1,-0.118450544764022E-3,-7.49993164905851,-4.57657405316376,-1.60526920848594,0.623199329392897E-1,1.07265769595427,-0.395262977405562,-0.582570795378298E-1,-0.338886971234901E-1,0.364791257886147E-3,-0.205005893458237E-7,0.333353895854858
0.390000000000000,348.111550058694,2.38432044126010,36.4362726298139,0.723157591192026,-0.156016579855261,0.591465987192216E-1,136.497379003432,-0.679554159244681E-2,-1000.03465831497,0.996797343790432,0.611314259116788E-1,0.515557979768517E-1,-0.622359475824790E-4,-6.88983767920959,-4.79799018657952,-1.63334554708927,0.619791386938768E-1,1.05086732977931,-0.375941858445511,-0.402594539723415E-1,-0.342669824086495E-1,0.374391733273524E-3,-0.186391461412502E-7,0.355934584019314
0.400000000000000,348.165394235467,2.46826137252494,35.9676300148180,0.726530855578557,-0.157345176542409,0.612381381546276E-1,139.997616427198,-0.593386936367787E-2,-1000.02938693017,0.996609253313201,0.647598956508534E-1,0.507558087000246E-1,0.300024122997735E-5,-6.29455076648178,-5.00808408341897,-1.65092395987995,0.616346501687865E-1,1.02149760603972,-0.355906380884989,-0.217584118871349E-1,-0.346276274094037E-1,0.383992356852364E-3,-0.162757091181590E-7,0.378945260134069
0.410000000000000,348.218883693229,2.54504351619574,35.4988796634552,0.727978613630287,-0.158421074948274,0.632566941214410E-1,143.497910016659,-0.487704333828301E-2,-1000.02311335016,0.996406840260399,0.683999535822818E-1,0.499484637314466E-1,0.774796610987959E-4,-5.71801276847587,-5.20655776143024,-1.65780160772913,0.612866412365759E-1,0.985929182244607,-0.335531117331694,-0.304169287178402E-2,-0.349711363141957E-1,0.393593134487893E-3,-0.133769946503083E-7,0.402346546862682
0.420000000000000,348.271927099421,2.61426441859995,35.0308038436645,0.727614005770133,-0.159259356189169,0.651983757735322E-1,146.998261659260,-0.361327321956257E-2,-1000.01578593985,0.996190568500649,0.720422011175044E-1,0.491349819382018E-1,0.161364280202984E-3,-5.16340348343626,-5.39331111516144,-1.65393797652115,0.609352808083492E-1,0.945437501954986,-0.315132612104158,0.156132369885998E-1,-0.352979972866275E-1,0.403194071357560E-3,-0.991066373079822E-8,0.426100484626361
0.430000000000000,348.324442628555,2.67560008252112,34.5641365547406,0.725556640230793,-0.159875077699037,0.670598396872552E-1,150.498673002902,-0.213113017651087E-2,-1000.00735448452,0.995961001258422,0.756778280854588E-1,0.483165127790101E-1,0.254757659245826E-3,-4.63320287844369,-5.56840985146775,-1.63944713487027,0.605807329910398E-1,0.901187001781194,-0.294973685150444,0.339452887599538E-1,-0.356086830564371E-1,0.412795171981802E-3,-0.584536879851045E-8,0.450170584209246
0.440000000000000,348.376357518996,2.72880267740831,34.0995633445197,0.721930267699425,-0.160283107976165,0.688382709395801E-1,153.999145467833,-0.419558973439347E-3,-999.997770197677,0.995718788006234,0.792986397231232E-1,0.474941364298154E-1,0.357706925856228E-3,-4.12925569175610,-5.73205601205771,-1.61458681319779,0.602231572387112E-1,0.854228496541373,-0.275268110918161,0.517147566475036E-1,-0.359036515245794E-1,0.422396440256668E-3,-0.115078700782252E-8,0.474521847430581
